dataset,breeds_name,config,testset,logit_threshold,frac_accepted,acc_true,acc_est_mm,acc_est_tdc,fdr_mixmax,fdr_tdc,fdr_true
breeds,entity13,seed_123,val_target,12.064807,0.808075,0.381675,0.346214,0.373336,0.005851,0.006121,0.052323
breeds,entity13,seed_123,val_target,12.194693,0.818176,0.372785,0.336477,0.363601,0.005175,0.005453,0.051866
breeds,entity13,seed_123,val_target,12.326781,0.828278,0.363787,0.326617,0.353754,0.004775,0.005033,0.051670
breeds,entity13,seed_123,val_target,12.471444,0.838373,0.355012,0.316742,0.343942,0.004394,0.004470,0.050669
breeds,entity13,seed_123,val_target,12.619757,0.848474,0.346184,0.306937,0.334159,0.003708,0.003719,0.050010
breeds,entity13,seed_123,val_target,12.768289,0.858576,0.337052,0.297006,0.324219,0.003373,0.003413,0.050010
breeds,entity13,seed_123,val_target,12.931959,0.868677,0.328114,0.287070,0.314286,0.003001,0.003036,0.049595
breeds,entity13,seed_123,val_target,13.102685,0.878778,0.318934,0.277077,0.304302,0.002805,0.002805,0.049490
breeds,entity13,seed_123,val_target,13.282595,0.888879,0.309814,0.267111,0.294336,0.002452,0.002452,0.049490
breeds,entity13,seed_123,val_target,13.469122,0.898981,0.300658,0.257161,0.284382,0.001948,0.001965,0.049490
breeds,entity13,seed_123,val_target,13.667977,0.909082,0.291575,0.247148,0.274376,0.001679,0.001662,0.049490
breeds,entity13,seed_123,val_target,13.888798,0.919183,0.282370,0.237092,0.264312,0.001606,0.001636,0.049490
breeds,entity13,seed_123,val_target,14.130531,0.929285,0.273154,0.227042,0.254266,0.001475,0.001483,0.049490
breeds,entity13,seed_123,val_target,14.411299,0.939386,0.263949,0.217047,0.244267,0.000840,0.000883,0.049490
breeds,entity13,seed_123,val_target,14.722466,0.949487,0.254805,0.207013,0.234237,0.000345,0.000359,0.049490
breeds,entity13,seed_123,val_target,15.081527,0.959589,0.245601,0.196924,0.224149,0.000271,0.000281,0.049490
breeds,entity13,seed_123,val_target,15.524878,0.969690,0.236311,0.186836,0.214061,0.000150,0.000154,0.049490
breeds,entity13,seed_123,val_target,16.121429,0.979791,0.227204,0.176744,0.203969,0.000000,0.000000,0.049490
breeds,entity13,seed_123,val_target,17.057674,0.989893,0.218096,0.166642,0.193868,0.000000,0.000000,0.049490
breeds,entity13,seed_123,val_target,26.690187,0.999994,0.209849,0.156541,0.183766,0.000000,0.000000,0.000000
breeds,entity13,seed_123,imagenet_val_source,1.079009,0.000000,0.951077,0.953940,0.933027,0.046060,0.066973,0.048923
breeds,entity13,seed_123,imagenet_val_source,4.221064,0.010000,0.955231,0.947514,0.932753,0.044720,0.062737,0.042269
breeds,entity13,seed_123,imagenet_val_source,4.866493,0.020154,0.951846,0.940496,0.932175,0.043583,0.058501,0.039234
breeds,entity13,seed_123,imagenet_val_source,5.367179,0.030154,0.950154,0.934962,0.930375,0.041730,0.054877,0.035369
breeds,entity13,seed_123,imagenet_val_source,5.734658,0.040308,0.948308,0.929231,0.928691,0.039868,0.051044,0.031420
breeds,entity13,seed_123,imagenet_val_source,6.160470,0.050462,0.945231,0.924209,0.927995,0.037592,0.046610,0.028025
breeds,entity13,seed_123,imagenet_val_source,6.418806,0.060462,0.940769,0.918010,0.924631,0.035969,0.043575,0.025368
breeds,entity13,seed_123,imagenet_val_source,6.761036,0.070615,0.934923,0.913465,0.921266,0.033344,0.040399,0.023325
breeds,entity13,seed_123,imagenet_val_source,7.087161,0.080769,0.931231,0.908833,0.917593,0.030709,0.037320,0.020080
breeds,entity13,seed_123,imagenet_val_source,7.348629,0.090769,0.924308,0.903919,0.913169,0.028250,0.034664,0.018597
breeds,entity13,seed_123,imagenet_val_source,7.600891,0.100923,0.917846,0.897962,0.909887,0.026235,0.031233,0.016749
breeds,entity13,seed_123,imagenet_val_source,7.808469,0.111077,0.909538,0.891053,0.904965,0.024709,0.028648,0.015878
breeds,entity13,seed_123,imagenet_val_source,8.049599,0.121077,0.902000,0.885418,0.900152,0.022507,0.026023,0.014703
breeds,entity13,seed_123,imagenet_val_source,8.265282,0.131231,0.894308,0.879251,0.894807,0.020476,0.023559,0.013458
breeds,entity13,seed_123,imagenet_val_source,8.506107,0.141385,0.886308,0.872658,0.887923,0.018645,0.021934,0.012348
breeds,entity13,seed_123,imagenet_val_source,8.693835,0.151385,0.879077,0.865099,0.881060,0.017426,0.020344,0.010875
breeds,entity13,seed_123,imagenet_val_source,8.853788,0.161538,0.869538,0.857367,0.874108,0.016193,0.018681,0.010547
breeds,entity13,seed_123,imagenet_val_source,9.035008,0.171538,0.862308,0.849692,0.867372,0.014985,0.016936,0.009099
breeds,entity13,seed_123,imagenet_val_source,9.172938,0.181692,0.854000,0.841970,0.859660,0.013685,0.015655,0.008071
breeds,entity13,seed_123,imagenet_val_source,9.296483,0.191846,0.844769,0.833626,0.851486,0.012738,0.014627,0.007605
breeds,entity13,seed_123,imagenet_val_source,9.436914,0.201846,0.835077,0.825480,0.842792,0.011736,0.013991,0.007514
breeds,entity13,seed_123,imagenet_val_source,9.551099,0.212000,0.824923,0.816890,0.834408,0.010894,0.013049,0.007514
breeds,entity13,seed_123,imagenet_val_source,9.700475,0.222154,0.815692,0.808438,0.826140,0.009943,0.012007,0.007078
breeds,entity13,seed_123,imagenet_val_source,9.821858,0.232154,0.806000,0.800020,0.818991,0.009042,0.010307,0.006962
breeds,entity13,seed_123,imagenet_val_source,9.936038,0.242308,0.797385,0.790765,0.811036,0.008570,0.008994,0.006089
breeds,entity13,seed_123,imagenet_val_source,10.060905,0.252462,0.788154,0.781911,0.802414,0.007817,0.008091,0.005557
breeds,entity13,seed_123,imagenet_val_source,10.164059,0.262462,0.779692,0.772972,0.793374,0.007204,0.007550,0.004575
breeds,entity13,seed_123,imagenet_val_source,10.276376,0.272615,0.769538,0.763816,0.784161,0.006618,0.007009,0.004575
breeds,entity13,seed_123,imagenet_val_source,10.400805,0.282769,0.759385,0.754722,0.775238,0.005974,0.006250,0.004575
breeds,entity13,seed_123,imagenet_val_source,10.533843,0.292769,0.750000,0.745573,0.765885,0.005456,0.005881,0.004322
breeds,entity13,seed_123,imagenet_val_source,10.620964,0.302923,0.740154,0.735643,0.755851,0.005375,0.005881,0.004188
breeds,entity13,seed_123,imagenet_val_source,10.730095,0.313077,0.730615,0.725658,0.745869,0.005332,0.005843,0.003781
breeds,entity13,seed_123,imagenet_val_source,10.832461,0.323077,0.720923,0.716426,0.736784,0.004843,0.005254,0.003587
breeds,entity13,seed_123,imagenet_val_source,10.930829,0.333231,0.711077,0.706787,0.727000,0.004531,0.005056,0.003460
breeds,entity13,seed_123,imagenet_val_source,11.027699,0.343231,0.701077,0.697204,0.717903,0.004282,0.004445,0.003460
