dataset,breeds_name,testset,frac_accepted,acc_true,acc_est_mm,acc_est_tdc,fdr_mixmax,fdr_tdc,fdr_true
breeds,nonliving26,imagenet_val_source,0.040385,0.937692,0.957773,0.963971,0.009855,0.004018,0.046437
breeds,nonliving26,imagenet_val_source,0.050385,0.936923,0.949646,0.955553,0.008972,0.003227,0.042105
breeds,nonliving26,imagenet_val_source,0.060385,0.932308,0.941819,0.946331,0.007911,0.002848,0.039689
breeds,nonliving26,imagenet_val_source,0.070385,0.930000,0.932993,0.936388,0.007365,0.002848,0.035950
breeds,nonliving26,imagenet_val_source,0.080769,0.923462,0.925002,0.928223,0.006146,0.001672,0.034310
breeds,nonliving26,imagenet_val_source,0.090769,0.918077,0.916706,0.919011,0.005277,0.001257,0.032068
breeds,nonliving26,imagenet_val_source,0.100769,0.910385,0.907315,0.909036,0.004997,0.001257,0.031130
breeds,nonliving26,imagenet_val_source,0.110769,0.905000,0.897830,0.899762,0.004763,0.000864,0.028942
breeds,nonliving26,imagenet_val_source,0.121154,0.897692,0.887813,0.889395,0.004611,0.000864,0.027571
breeds,nonliving26,imagenet_val_source,0.131154,0.890000,0.878716,0.879413,0.004144,0.000864,0.026537
breeds,nonliving26,imagenet_val_source,0.141154,0.882308,0.869125,0.870913,0.003954,0.000000,0.025503
breeds,nonliving26,imagenet_val_source,0.151154,0.876154,0.859605,0.860913,0.003718,0.000000,0.023455
breeds,nonliving26,imagenet_val_source,0.161538,0.869615,0.849578,0.850528,0.003551,0.000000,0.021550
breeds,nonliving26,imagenet_val_source,0.171538,0.859615,0.839970,0.840528,0.003357,0.000000,0.021550
breeds,nonliving26,imagenet_val_source,0.181538,0.851154,0.831057,0.830528,0.002734,0.000000,0.021077
breeds,nonliving26,imagenet_val_source,0.191538,0.843462,0.821112,0.820528,0.002734,0.000000,0.019952
breeds,nonliving26,imagenet_val_source,0.201923,0.833846,0.810784,0.810144,0.002734,0.000000,0.019740
breeds,nonliving26,imagenet_val_source,0.211923,0.825385,0.800872,0.800144,0.002713,0.000000,0.019034
breeds,nonliving26,imagenet_val_source,0.221923,0.816154,0.791337,0.790144,0.002449,0.000000,0.018600
breeds,nonliving26,imagenet_val_source,0.231923,0.808462,0.781386,0.780144,0.002449,0.000000,0.017448
breeds,nonliving26,imagenet_val_source,0.242308,0.798846,0.771165,0.769759,0.002374,0.000000,0.017154
breeds,nonliving26,imagenet_val_source,0.252308,0.789615,0.761212,0.759759,0.002374,0.000000,0.016863
breeds,nonliving26,imagenet_val_source,0.262308,0.780385,0.751342,0.749759,0.002319,0.000000,0.016675
breeds,nonliving26,imagenet_val_source,0.272308,0.772692,0.741546,0.739759,0.002211,0.000000,0.015239
breeds,nonliving26,imagenet_val_source,0.282692,0.762308,0.731380,0.729375,0.002090,0.000000,0.015239
breeds,nonliving26,imagenet_val_source,0.292692,0.752308,0.721622,0.719375,0.001948,0.000000,0.015239
breeds,nonliving26,imagenet_val_source,0.302692,0.742308,0.711661,0.709375,0.001948,0.000000,0.015239
breeds,nonliving26,imagenet_val_source,0.312692,0.733077,0.701853,0.699375,0.001837,0.000000,0.015239
breeds,nonliving26,imagenet_val_source,0.323077,0.723462,0.691506,0.688990,0.001837,0.000000,0.015220
breeds,nonliving26,imagenet_val_source,0.333077,0.715769,0.681721,0.678990,0.001704,0.000000,0.013833
breeds,nonliving26,imagenet_val_source,0.343077,0.705769,0.671755,0.668990,0.001704,0.000000,0.013833
breeds,nonliving26,imagenet_val_source,0.353077,0.697308,0.661977,0.658990,0.001559,0.000000,0.013025
breeds,nonliving26,imagenet_val_source,0.363462,0.687692,0.651625,0.648605,0.001559,0.000000,0.012628
breeds,nonliving26,imagenet_val_source,0.373462,0.679231,0.641887,0.638605,0.001375,0.000000,0.011550
breeds,nonliving26,imagenet_val_source,0.383462,0.670000,0.631914,0.628605,0.001375,0.000000,0.011229
breeds,nonliving26,imagenet_val_source,0.393462,0.661538,0.621942,0.618605,0.001375,0.000000,0.010127
breeds,nonliving26,imagenet_val_source,0.403846,0.651154,0.611791,0.608221,0.001202,0.000000,0.010127
breeds,nonliving26,imagenet_val_source,0.413846,0.641923,0.601815,0.598221,0.001202,0.000000,0.009690
breeds,nonliving26,imagenet_val_source,0.423846,0.631923,0.592443,0.588221,0.000679,0.000000,0.009690
breeds,nonliving26,imagenet_val_source,0.433846,0.623462,0.582456,0.578221,0.000679,0.000000,0.008742
breeds,nonliving26,imagenet_val_source,0.444231,0.613077,0.572086,0.567836,0.000679,0.000000,0.008742
breeds,nonliving26,imagenet_val_source,0.454231,0.603846,0.562099,0.557836,0.000679,0.000000,0.008421
